material_id,formula,crystal_system,battery_family,is_stable,energy_above_hull,band_gap,india_feasibility_score,india_decision_label,india_rule_reason,predicted_stable_probability,predicted_is_stable,predicted_energy_above_hull,final_recommendation_score,parsed_elements,blocked_elements,predicted_energy_above_hull_clipped,family_rank,shortlist_rule_type,shortlist_rejection_reason,shortlist_score
mp-766800,LiFe2(PO4)2,Triclinic,LFP-family,False,0.06393533,1.4736,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0046785087,False,0.049566314,37.88,Fe;Li;O;P,,0.049566314,1,Benchmark family exception,Included in final shortlist,43.2
mp-782726,LiFeP2O7,Triclinic,LFP-family,False,0.082738065,1.4647,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.0046785087,False,0.049566314,37.88,Fe;Li;O;P,,0.049566314,1,Benchmark family exception,Included in final shortlist,43.2
mp-757456,Li4Fe(PO3)6,Monoclinic,LFP-family,False,0.068336319,4.371,94,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.009151133,False,0.05059642,38.15,Fe;Li;O;P,,0.05059642,1,Benchmark family exception,Included in final shortlist,43.19
mp-1101521,LiFeP2O7,Triclinic,LFP-family,False,0.104577116,2.0137,93,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.012955433,False,0.04981356,37.98,Fe;Li;O;P,,0.04981356,1,Benchmark family exception,Included in final shortlist,43.17
mp-756144,Li4Fe(PO4)2,Triclinic,LFP-family,False,0.196919528,4.2344,93,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.007054153,False,0.04865857,37.62,Fe;Li;O;P,,0.04865857,1,Benchmark family exception,Included in final shortlist,43.14
mp-697800,LiFe4P7O24,Triclinic,LFP-family,False,0.039673611,2.3447,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.012875663,False,0.055793293,39.17,Fe;Li;O;P,,0.055793293,1,Benchmark family exception,Included in final shortlist,43.02
mp-26125,Li2Fe(PO3)4,Orthorhombic,LFP-family,False,0.009334568,4.19,98,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.00893654,False,0.058457937,39.74,Fe;Li;O;P,,0.058457937,1,Benchmark family exception,Included in final shortlist,43.01
mp-1177430,Li4Fe2(PO4)3,Triclinic,LFP-family,False,0.038873173,2.1514,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.014307135,False,0.056296177,39.26,Fe;Li;O;P,,0.056296177,1,Benchmark family exception,Included in final shortlist,42.98
mp-705376,LiFe5(P2O7)4,Triclinic,LFP-family,False,0.042874143,2.0067,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.014020498,False,0.056296177,39.24,Fe;Li;O;P,,0.056296177,1,Benchmark family exception,Included in final shortlist,42.97
mp-1177139,Li5Fe2P5O18,Triclinic,LFP-family,False,0.03566718,2.1125,96,Recommend,India-friendly benchmark family; avoids nickel and cobalt.,0.014020498,False,0.056296177,39.24,Fe;Li;O;P,,0.056296177,1,Benchmark family exception,Included in final shortlist,42.97
