feature_count,feature_names,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_si,pi_over_2,1.570796,2.0,256,800,4,0.8012,0.772,0.855,0.8114
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_s,pi,3.141593,2.0,64,800,4,0.8025,0.776,0.85,0.8112
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p,pi,3.141593,10.0,16,800,4,0.8038,0.78,0.845,0.811
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_c; scaled_has_s,pi,3.141593,10.0,64,800,4,0.8038,0.7819,0.8425,0.811
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_c; scaled_has_s,pi,3.141593,5.0,64,800,4,0.8025,0.7778,0.8475,0.8109
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_s,pi,3.141593,1.0,256,800,4,0.8012,0.773,0.8525,0.8107
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,2.0,1024,800,4,0.8012,0.7747,0.85,0.8105
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_s,pi,3.141593,1.0,64,800,4,0.8012,0.7744,0.85,0.8104
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_mn; scaled_has_c; scaled_has_s,pi,3.141593,0.5,64,800,4,0.8012,0.7767,0.8475,0.8103
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_s,pi_over_2,1.570796,1.0,256,800,4,0.7988,0.7674,0.8575,0.8099
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_c; scaled_has_s,pi_over_2,1.570796,10.0,64,800,4,0.8,0.7729,0.85,0.8095
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_c; scaled_has_si,pi,3.141593,2.0,64,800,4,0.7988,0.7684,0.855,0.8094
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_si,pi_over_2,1.570796,10.0,256,800,4,0.8,0.7726,0.85,0.8093
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_c; scaled_has_s,pi,3.141593,2.0,64,800,4,0.8,0.7726,0.85,0.8092
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_c,pi,3.141593,1.0,64,800,4,0.8,0.7742,0.8475,0.809
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_s,pi_over_2,1.570796,2.0,256,800,4,0.7988,0.7698,0.8525,0.809
6,scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_s,pi,3.141593,10.0,64,800,4,0.8038,0.787,0.8325,0.8089
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,1.0,256,800,4,0.7988,0.7699,0.8525,0.8089
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,10.0,256,800,4,0.8025,0.7824,0.8375,0.8088
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_s,pi,3.141593,5.0,64,800,4,0.8,0.7738,0.8475,0.8088
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_c; scaled_has_s,pi,3.141593,1.0,64,800,4,0.7988,0.7696,0.8525,0.8088
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c,pi_over_2,1.570796,10.0,64,800,4,0.8,0.7737,0.8475,0.8087
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_s,pi,3.141593,1.0,256,800,4,0.8,0.7737,0.8475,0.8087
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,10.0,64,800,4,0.7988,0.7714,0.85,0.8086
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_c; scaled_has_s,pi,3.141593,2.0,64,800,4,0.7988,0.7711,0.85,0.8085
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,1.0,1024,800,4,0.7975,0.7668,0.855,0.8085
10,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,5.0,1024,800,4,0.8,0.7753,0.845,0.8084
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p,pi,3.141593,5.0,16,800,4,0.8,0.7749,0.845,0.8083
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_mn,pi_over_2,1.570796,10.0,64,800,4,0.8,0.7752,0.845,0.8083
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_c,pi,3.141593,10.0,16,800,4,0.8,0.777,0.8425,0.8083
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_mn; scaled_has_s,pi,3.141593,0.5,64,800,4,0.7988,0.7719,0.8475,0.8077
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_mn; scaled_has_c; scaled_has_s,pi,3.141593,1.0,64,800,4,0.7988,0.7757,0.8425,0.8075
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_si,pi_over_2,1.570796,1.0,256,800,4,0.795,0.7612,0.86,0.8075
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si,pi_over_2,1.570796,1.0,256,800,4,0.7938,0.7571,0.865,0.8075
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p,pi_over_2,1.570796,5.0,64,800,4,0.7988,0.7732,0.845,0.8074
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p,pi,3.141593,10.0,64,800,4,0.8025,0.7869,0.83,0.8073
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c,pi_over_2,1.570796,5.0,64,800,4,0.7975,0.769,0.85,0.8073
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_s,pi,3.141593,10.0,64,800,4,0.8038,0.7934,0.8225,0.8072
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_s,pi,3.141593,2.0,64,800,4,0.7988,0.7752,0.8425,0.8072
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_s,pi_over_2,1.570796,2.0,64,800,4,0.7988,0.7749,0.8425,0.8072
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,10.0,64,800,4,0.7975,0.7711,0.8475,0.8072
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_s,pi_over_2,1.570796,10.0,256,800,4,0.7988,0.7751,0.8425,0.8071
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn,pi_over_2,1.570796,1.0,64,800,4,0.795,0.7624,0.8575,0.8071
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_s,pi,3.141593,0.5,64,800,4,0.7975,0.7704,0.8475,0.807
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_c; scaled_has_s,pi_over_2,1.570796,5.0,64,800,4,0.7975,0.7705,0.8475,0.807
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn,pi_over_2,1.570796,10.0,64,800,4,0.7963,0.7661,0.8525,0.8069
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c,pi,3.141593,2.0,64,800,4,0.7988,0.7745,0.8425,0.8068
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si,pi_over_2,1.570796,5.0,256,800,4,0.7975,0.7717,0.845,0.8066
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,2.0,256,800,4,0.7975,0.7715,0.845,0.8065
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p,pi,3.141593,2.0,16,800,4,0.7975,0.7715,0.845,0.8064
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_s,pi,3.141593,0.5,256,800,4,0.7975,0.7714,0.845,0.8064
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,5.0,64,800,4,0.7975,0.7736,0.8425,0.8064
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si,pi_over_2,1.570796,5.0,256,800,4,0.7988,0.7777,0.8375,0.8063
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_s,pi,3.141593,1.0,256,800,4,0.7988,0.7776,0.8375,0.8062
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_si,pi_over_2,1.570796,5.0,256,800,4,0.7975,0.773,0.8425,0.8062
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,2.0,256,800,4,0.7963,0.7689,0.8475,0.8062
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_s,pi,3.141593,1.0,256,800,4,0.7988,0.7772,0.8375,0.8061
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si,pi_over_2,1.570796,10.0,256,800,4,0.7975,0.7733,0.8425,0.806
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_s,pi_over_2,1.570796,10.0,256,800,4,0.7962,0.7686,0.8475,0.806
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_mn; scaled_has_c; scaled_has_s,pi,3.141593,2.0,256,800,4,0.7975,0.7748,0.84,0.8058
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn,pi,3.141593,1.0,64,800,4,0.7962,0.7684,0.8475,0.8058
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_s,pi_over_2,1.570796,2.0,256,800,4,0.7975,0.7742,0.84,0.8057
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_s,pi_over_2,1.570796,5.0,256,800,4,0.7975,0.7742,0.84,0.8057
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si,pi_over_2,1.570796,2.0,256,800,4,0.7962,0.77,0.845,0.8057
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_si; scaled_has_s,pi_over_2,1.570796,2.0,256,800,4,0.7962,0.7699,0.845,0.8057
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_s,pi_over_2,1.570796,5.0,256,800,4,0.7962,0.7699,0.845,0.8057
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_mn; scaled_has_c; scaled_has_s,pi,3.141593,10.0,256,800,4,0.7988,0.782,0.8325,0.8056
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_s,pi,3.141593,10.0,256,800,4,0.7975,0.7742,0.84,0.8056
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_si; scaled_has_s,pi,3.141593,2.0,64,800,4,0.795,0.7655,0.85,0.8055
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_s,pi,3.141593,0.5,256,800,4,0.7975,0.774,0.84,0.8053
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_s,pi_over_2,1.570796,10.0,256,800,4,0.7962,0.7696,0.845,0.8053
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi,3.141593,2.0,256,800,4,0.7975,0.7757,0.8375,0.805
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_c,pi_over_2,1.570796,5.0,64,800,4,0.7963,0.7709,0.8425,0.805
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_s,pi,3.141593,2.0,256,800,4,0.7962,0.7711,0.8425,0.805
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c; scaled_has_si,pi_over_2,1.570796,10.0,256,800,4,0.7962,0.771,0.8425,0.805
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_s,pi_over_2,1.570796,5.0,64,800,4,0.7963,0.7726,0.84,0.8048
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_si; scaled_has_s,pi,3.141593,1.0,256,800,4,0.795,0.7667,0.8475,0.8048
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c,pi,3.141593,1.0,64,800,4,0.7962,0.7709,0.8425,0.8047
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn,pi_over_2,1.570796,2.0,64,800,4,0.7938,0.7655,0.8475,0.8044
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_c,pi,3.141593,2.0,64,800,4,0.7938,0.7655,0.8475,0.8043
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_mn,pi,3.141593,2.0,64,800,4,0.7962,0.7744,0.8375,0.8042
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_c,pi,3.141593,10.0,64,800,4,0.7925,0.7613,0.8525,0.8042
6,scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_s,pi_over_2,1.570796,10.0,64,800,4,0.8025,0.7941,0.815,0.8041
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_mn,pi,3.141593,1.0,64,800,4,0.7962,0.7737,0.8375,0.8041
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi,3.141593,0.5,256,800,4,0.7962,0.7735,0.8375,0.8041
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_s,pi_over_2,1.570796,10.0,64,800,4,0.795,0.7691,0.8425,0.804
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_s,pi,3.141593,10.0,64,800,4,0.7988,0.7847,0.825,0.8039
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,5.0,64,800,4,0.7938,0.7669,0.845,0.8039
6,scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_c; scaled_has_s,pi_over_2,1.570796,5.0,64,800,4,0.805,0.8056,0.8025,0.8038
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_c,pi,3.141593,10.0,64,800,4,0.8012,0.7917,0.8175,0.8038
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_si,pi_over_2,1.570796,10.0,256,800,4,0.7962,0.7734,0.8375,0.8038
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_c; scaled_has_s,pi_over_2,1.570796,5.0,64,800,4,0.7938,0.7665,0.845,0.8037
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_c; scaled_has_s,pi,3.141593,5.0,256,800,4,0.7975,0.7797,0.83,0.8036
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_s,pi,3.141593,10.0,256,800,4,0.7975,0.7798,0.83,0.8036
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_c,pi,3.141593,2.0,64,800,4,0.795,0.7709,0.84,0.8036
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_s,pi,3.141593,1.0,64,800,4,0.7938,0.7662,0.845,0.8036
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_c; scaled_has_s,pi,3.141593,0.5,64,800,4,0.7925,0.7622,0.85,0.8036
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p,pi,3.141593,1.0,64,800,4,0.795,0.7706,0.84,0.8035
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_c; scaled_has_si,pi,3.141593,5.0,64,800,4,0.795,0.7704,0.84,0.8035
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_c,pi_over_2,1.570796,10.0,64,800,4,0.795,0.7703,0.84,0.8035
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_p; scaled_has_c; scaled_has_si; scaled_has_s,pi_over_2,1.570796,10.0,256,800,4,0.7938,0.7662,0.845,0.8035
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_s,pi,3.141593,0.5,256,800,4,0.7962,0.7746,0.835,0.8034
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_c; scaled_has_si,pi,3.141593,2.0,64,800,4,0.7938,0.7663,0.845,0.8034
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_mn; scaled_has_s,pi_over_2,1.570796,2.0,64,800,4,0.7938,0.7679,0.8425,0.8034
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_c; scaled_has_s,pi_over_2,1.570796,5.0,64,800,4,0.7938,0.7682,0.8425,0.8034
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_c,pi,3.141593,5.0,64,800,4,0.7962,0.7769,0.8325,0.8033
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_p; scaled_has_c; scaled_has_si,pi,3.141593,10.0,64,800,4,0.7975,0.7805,0.8275,0.8032
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_s,pi,3.141593,2.0,256,800,4,0.7962,0.7764,0.8325,0.8032
4,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_c,pi_over_2,1.570796,10.0,16,800,4,0.7938,0.7677,0.8425,0.8032
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_has_fe; scaled_has_p; scaled_has_mn,pi_over_2,1.570796,5.0,64,800,4,0.7925,0.7634,0.8475,0.8032
