pca_component_count,kernel_name,entanglement_strength,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
4,entangled_pi,3.141593,two_pi,6.283185,2.0,16,800,4,0.8425,0.8367,0.8575,0.8454
4,entangled_pi,3.141593,two_pi,6.283185,5.0,16,800,4,0.8462,0.8435,0.855,0.848
4,entangled_pi,3.141593,two_pi,6.283185,10.0,16,800,4,0.8462,0.8476,0.85,0.847
6,product,0.0,pi_over_2,1.570796,0.1,64,800,4,0.81,0.8167,0.8025,0.8089
6,product,0.0,pi_over_2,1.570796,0.5,64,800,4,0.8375,0.8148,0.8775,0.8441
6,product,0.0,pi_over_2,1.570796,1.0,64,800,4,0.8375,0.8148,0.8775,0.8441
6,product,0.0,pi_over_2,1.570796,2.0,64,800,4,0.8388,0.8166,0.8775,0.8451
6,product,0.0,pi_over_2,1.570796,5.0,64,800,4,0.8375,0.8161,0.875,0.8438
6,product,0.0,pi_over_2,1.570796,10.0,64,800,4,0.84,0.8206,0.875,0.846
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.1,64,800,4,0.8138,0.8177,0.81,0.8134
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.5,64,800,4,0.8362,0.8143,0.875,0.8427
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,1.0,64,800,4,0.8375,0.8148,0.8775,0.8441
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,2.0,64,800,4,0.8388,0.8166,0.8775,0.8451
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,5.0,64,800,4,0.8388,0.8183,0.875,0.8448
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,10.0,64,800,4,0.8425,0.8231,0.8775,0.8485
6,entangled_pi,3.141593,pi_over_2,1.570796,0.1,64,800,4,0.8225,0.8257,0.82,0.8225
