material_id,formula,space_group_number,crystal_system,formation_energy_per_atom,energy_above_hull,is_stable,band_gap,is_metal,theoretical,deprecated
mp-25983,LiMo(PO4)2,14,Monoclinic,-2.502225004,0.011804772,FALSE,2.986,FALSE,FALSE,FALSE
mp-25985,LiCr(PO3)4,60,Orthorhombic,-2.641370724,0.001379062,FALSE,3.548,FALSE,TRUE,FALSE
mp-25987,LiMo(PO3)4,60,Orthorhombic,-2.577959808,0.004660258,FALSE,4.4002,FALSE,TRUE,FALSE
mp-25991,Li2Ni3(P2O7)2,14,Monoclinic,-2.381122719,0,TRUE,4.0597,FALSE,FALSE,FALSE
mp-25993,Li3Fe2(PO4)3,14,Monoclinic,-2.506846264,0.005395785,FALSE,2.6074,FALSE,FALSE,FALSE
mp-25995,Li4Co(PO4)2,14,Monoclinic,-2.588927636,0.001368304,FALSE,3.306,FALSE,TRUE,FALSE
mp-25996,Li3Co(PO4)2,4,Monoclinic,-2.456484208,0.025655959,FALSE,0.8173,FALSE,TRUE,FALSE
mp-26001,LiNi(PO3)3,19,Orthorhombic,-2.497688597,0,TRUE,4.7526,FALSE,TRUE,FALSE
mp-26003,LiFe(PO3)3,2,Triclinic,-2.553984804,0,TRUE,3.9487,FALSE,TRUE,FALSE
mp-26005,LiMn6P7O24,11,Monoclinic,-2.598717645,0,TRUE,3.3554,FALSE,TRUE,FALSE
mp-26007,LiNiP2O7,4,Monoclinic,-2.244170818,0.10279444,FALSE,0.0323,FALSE,TRUE,FALSE
mp-26009,LiMo2P2O11,11,Monoclinic,-2.357723519,0.011801746,FALSE,1.0898,FALSE,FALSE,FALSE
mp-26013,LiMo2(PO4)3,2,Triclinic,-2.505421325,0.001661414,FALSE,1.3834,FALSE,TRUE,FALSE
mp-26015,LiCo(PO3)3,2,Triclinic,-2.502126886,0,TRUE,0,TRUE,TRUE,FALSE
mp-26017,LiCoPO4,14,Monoclinic,-2.400014834,0.004075115,FALSE,3.0148,FALSE,TRUE,FALSE
mp-26019,LiMn(PO3)3,2,Triclinic,-2.633783248,0,TRUE,4.2823,FALSE,TRUE,FALSE
mp-26021,LiCoPO4,146,Trigonal,-2.397300892,0.006789057,FALSE,2.9248,FALSE,TRUE,FALSE
mp-26025,Li2FeP2O7,15,Monoclinic,-2.569337877,0.005539757,FALSE,4.1571,FALSE,TRUE,FALSE
mp-26027,LiNi(PO3)3,2,Triclinic,-2.496603684,0.001084913,FALSE,4.5142,FALSE,TRUE,FALSE
mp-26035,Li9Mn3P8O29,15,Monoclinic,-2.630352382,0,TRUE,1.4499,FALSE,TRUE,FALSE
mp-26039,Li3Mn2(PO4)3,14,Monoclinic,-2.563618485,0.00390291,FALSE,1.1909,FALSE,TRUE,FALSE
mp-26040,LiMn2(PO4)3,14,Monoclinic,-2.364647777,0.017623489,FALSE,1.1008,FALSE,TRUE,FALSE
mp-26041,LiFePO4,33,Orthorhombic,-2.469370835,0.010525179,FALSE,3.595,FALSE,TRUE,FALSE
mp-26045,Li3Cr2(PO4)3,14,Monoclinic,-2.663927588,0.003625005,FALSE,3.0477,FALSE,TRUE,FALSE
mp-26046,LiCr2(PO4)3,14,Monoclinic,-2.456908505,0.042803766,FALSE,0.3263,FALSE,TRUE,FALSE
mp-26049,Li3Fe(PO3)8,5,Monoclinic,-2.440136949,0.061668905,FALSE,0,TRUE,TRUE,FALSE
mp-26051,LiMo8(P2O11)4,2,Triclinic,-2.282518147,0.009544453,FALSE,0.3876,FALSE,TRUE,FALSE
mp-26054,LiFe2(PO4)3,2,Triclinic,-2.219857162,0.107524445,FALSE,0.1375,FALSE,TRUE,FALSE
mp-26056,Li3Fe(PO4)2,4,Monoclinic,-2.548496331,0.032598327,FALSE,2.3376,FALSE,TRUE,FALSE
mp-26057,LiMnPO4,33,Orthorhombic,-2.621734584,0.011694149,FALSE,3.7748,FALSE,TRUE,FALSE
mp-26061,LiMn2(PO4)3,2,Triclinic,-2.372617995,0.009653272,FALSE,1.221,FALSE,TRUE,FALSE
mp-26063,LiCr(PO3)3,2,Triclinic,-2.600927003,0.019013946,FALSE,3.1776,FALSE,TRUE,FALSE
mp-26065,LiMn6PO12,142,Tetragonal,-2.189099652,0.012939516,FALSE,1.0005,FALSE,TRUE,FALSE
mp-26069,Li3Fe2(PO4)3,14,Monoclinic,-2.500679354,0.011562696,FALSE,2.4969,FALSE,TRUE,FALSE
mp-26070,LiFe2(PO4)3,14,Monoclinic,-2.217951651,0.109429957,FALSE,0.0197,FALSE,TRUE,FALSE
mp-26071,LiMnPO4,146,Trigonal,-2.621246047,0.012182687,FALSE,3.7627,FALSE,TRUE,FALSE
mp-26077,Li3Fe3(PO4)4,1,Triclinic,-2.458380373,0.016787194,FALSE,2.0208,FALSE,TRUE,FALSE
mp-26079,Li3Cr2(PO4)3,14,Monoclinic,-2.662338173,0.005214419,FALSE,2.8178,FALSE,TRUE,FALSE
mp-26080,LiCr2(PO4)3,33,Orthorhombic,-2.448030263,0.051682007,FALSE,0,TRUE,TRUE,FALSE
mp-26081,Li4Mn(PO4)2,14,Monoclinic,-2.686699182,0.010621524,FALSE,4.1309,FALSE,TRUE,FALSE
mp-26083,Li2Mn3(P2O7)2,14,Monoclinic,-2.620111145,0.008266205,FALSE,3.9326,FALSE,TRUE,FALSE
mp-26085,Li3Mo2(PO4)3,14,Monoclinic,-2.556856118,0.008899462,FALSE,4.1525,FALSE,TRUE,FALSE
mp-26086,LiMo2(PO4)3,14,Monoclinic,-2.501660752,0.005421987,FALSE,1.0258,FALSE,TRUE,FALSE
mp-26087,Li3Co2(PO4)3,14,Monoclinic,-2.341008922,0.032696839,FALSE,1.1288,FALSE,TRUE,FALSE
mp-26088,LiCo2(PO4)3,14,Monoclinic,-2.044365895,0.120186451,FALSE,0,TRUE,TRUE,FALSE
mp-26089,Li2CoP2O7,15,Monoclinic,-2.514752527,0.013769648,FALSE,2.6793,FALSE,TRUE,FALSE
mp-26091,LiVPO5,2,Triclinic,-2.659225326,0.007069967,FALSE,1.5518,FALSE,FALSE,FALSE
mp-26093,LiNiPO4,63,Orthorhombic,-2.355740184,0.009307963,FALSE,3.5008,FALSE,FALSE,FALSE
mp-26095,Li2Mn(PO3)4,62,Orthorhombic,-2.645712759,0.006213659,FALSE,4.4509,FALSE,FALSE,FALSE
mp-26101,Li3V3(PO4)4,1,Triclinic,-2.708341276,0.013054908,FALSE,1.8174,FALSE,TRUE,FALSE
mp-26103,LiV2(PO4)3,2,Triclinic,-2.643328861,0.011657456,FALSE,1.2243,FALSE,TRUE,FALSE
mp-26105,Li3Mo2(PO4)3,14,Monoclinic,-2.561042216,0.004713364,FALSE,4.0953,FALSE,TRUE,FALSE
mp-26111,LiCr(PO3)3,19,Orthorhombic,-2.596865956,0.023074993,FALSE,3.1062,FALSE,TRUE,FALSE
mp-26113,LiTi(PO3)4,60,Orthorhombic,-2.755053241,0.02174002,FALSE,0.2986,FALSE,TRUE,FALSE
mp-26118,LiMn2(PO4)3,7,Monoclinic,-2.365856824,0.016414442,FALSE,1.0744,FALSE,TRUE,FALSE
mp-26121,LiMnPO4,14,Monoclinic,-2.619341141,0.014087592,FALSE,3.6625,FALSE,TRUE,FALSE
mp-26123,LiV2(PO4)3,14,Monoclinic,-2.646817223,0.008169094,FALSE,0,TRUE,FALSE,FALSE
mp-26125,Li2Fe(PO3)4,62,Orthorhombic,-2.583792996,0.009334568,FALSE,4.19,FALSE,TRUE,FALSE
mp-26126,LiFe(PO3)4,19,Orthorhombic,-2.509264806,0.040425076,FALSE,1.8014,FALSE,TRUE,FALSE
mp-26127,LiVPO4,63,Orthorhombic,-2.642382814,0,TRUE,2.7773,FALSE,TRUE,FALSE
mp-26129,LiBiP2O7,14,Monoclinic,-2.535780595,0.009609454,FALSE,4.1127,FALSE,TRUE,FALSE
mp-26131,LiMo(PO3)4,15,Monoclinic,-2.568895829,0.013724237,FALSE,4.4641,FALSE,TRUE,FALSE
mp-26133,LiCr2P5O16,7,Monoclinic,-2.631152198,0.013583064,FALSE,3.0178,FALSE,TRUE,FALSE
mp-26135,Li3Co3(PO4)4,4,Monoclinic,-2.249485829,0.065832174,FALSE,0.8464,FALSE,TRUE,FALSE
mp-26139,LiCrP2O7,15,Monoclinic,-2.661826261,0.012517975,FALSE,2.7333,FALSE,TRUE,FALSE
mp-26141,LiNi(PO3)4,15,Monoclinic,-2.38944034,0.035376384,FALSE,0,TRUE,TRUE,FALSE
mp-26143,Li3Mn3(PO4)4,4,Monoclinic,-2.53477445,0.004176978,FALSE,1.0438,FALSE,TRUE,FALSE
mp-26155,LiMn(PO3)4,15,Monoclinic,-2.561710708,0.013275905,FALSE,1.5367,FALSE,TRUE,FALSE
mp-26157,LiSb(PO3)4,14,Monoclinic,-2.506912868,0.012140262,FALSE,4.4911,FALSE,TRUE,FALSE
mp-26162,LiNiP2O7,9,Monoclinic,-2.165660043,0.181305215,FALSE,0.5763,FALSE,TRUE,FALSE
mp-26163,Li6Cr9(PO4)8,2,Triclinic,-2.530009539,0.014931765,FALSE,2.7335,FALSE,TRUE,FALSE
mp-26165,Li2Ni(PO3)4,15,Monoclinic,-2.539445132,0.012201017,FALSE,4.6885,FALSE,TRUE,FALSE
mp-26173,LiBi3(PO5)2,1,Triclinic,-2.305099429,0.012705756,FALSE,3.4898,FALSE,TRUE,FALSE
mp-26177,Li3Co3(PO4)4,1,Triclinic,-2.254923486,0.060394517,FALSE,0.3875,FALSE,TRUE,FALSE
mp-26179,LiMnP2O7,2,Triclinic,-2.562749539,0.002575331,FALSE,1.3411,FALSE,TRUE,FALSE
mp-26181,LiFeP2O7,5,Monoclinic,-2.508565137,0.017194242,FALSE,2.5296,FALSE,TRUE,FALSE
mp-26184,LiFe2P5O16,7,Monoclinic,-2.496068894,0.004281455,FALSE,2.5853,FALSE,TRUE,FALSE
mp-26187,Li3Mn2P5O16,13,Monoclinic,-2.638230666,0.014541954,FALSE,4.202,FALSE,TRUE,FALSE
mp-26188,LiMn2P5O16,7,Monoclinic,-2.538661273,0.003508238,FALSE,2.1741,FALSE,TRUE,FALSE
mp-26191,Li3Ni2P5O16,13,Monoclinic,-2.491245694,0.014403235,FALSE,4.3408,FALSE,TRUE,FALSE
mp-26192,LiNi2P5O16,7,Monoclinic,-2.276122713,0.073523978,FALSE,0,TRUE,TRUE,FALSE
mp-26193,LiMo2P3O13,14,Monoclinic,-2.438327235,0.026045299,FALSE,2.3002,FALSE,TRUE,FALSE
mp-26195,Li2Ni(PO3)4,62,Orthorhombic,-2.5381233,0.013522849,FALSE,4.5637,FALSE,TRUE,FALSE
mp-26197,LiCoP2O7,15,Monoclinic,-2.328984027,0.05626955,FALSE,1.8192,FALSE,TRUE,FALSE
mp-26199,LiV(PO3)4,15,Monoclinic,-2.656642614,0.015326075,FALSE,0,TRUE,TRUE,FALSE
mp-26201,Li3Co3(PO4)4,14,Monoclinic,-2.256683054,0.058634949,FALSE,0.6073,FALSE,TRUE,FALSE
mp-26203,Li3Co2P5O16,13,Monoclinic,-2.496773488,0.017535839,FALSE,3.282,FALSE,TRUE,FALSE
mp-26204,LiCo2P5O16,7,Monoclinic,-2.328649755,0.024171997,FALSE,1.1541,FALSE,TRUE,FALSE
mp-26205,Li3Cr3(PO4)4,15,Monoclinic,-2.632813294,0.018320069,FALSE,2.7786,FALSE,TRUE,FALSE
mp-26209,LiBiP2O7,4,Monoclinic,-2.533077858,0.012312192,FALSE,4.2294,FALSE,TRUE,FALSE
mp-26211,LiNiP2O7,15,Monoclinic,-2.288142776,0.058822482,FALSE,0,TRUE,TRUE,FALSE
mp-26219,LiMnPO4,63,Orthorhombic,-2.612878999,0.020549735,FALSE,3.4796,FALSE,TRUE,FALSE
mp-26221,Li6Fe3P8O29,1,Triclinic,-2.445059166,0.048345028,FALSE,0,TRUE,TRUE,FALSE
mp-26223,Li4Cu(PO4)2,14,Monoclinic,-2.486084922,0.025518257,FALSE,0.0694,FALSE,TRUE,FALSE
mp-26224,Li3Cu(PO4)2,4,Monoclinic,-2.343055956,0.057193549,FALSE,0,TRUE,TRUE,FALSE
mp-26225,LiV(PO3)3,19,Orthorhombic,-2.640004855,0.015660077,FALSE,2.9215,FALSE,TRUE,FALSE
mp-26227,LiVP2O7,15,Monoclinic,-2.71835371,0,TRUE,2.1466,FALSE,TRUE,FALSE
mp-26231,LiNiP2O7,5,Monoclinic,-2.282479814,0.064485444,FALSE,0,TRUE,TRUE,FALSE
mp-26237,LiMo2P3O13,2,Triclinic,-2.437465008,0.026907527,FALSE,2.4359,FALSE,TRUE,FALSE
mp-26239,LiMoP2O7,15,Monoclinic,-2.566337195,0.016486841,FALSE,3.9263,FALSE,TRUE,FALSE
mp-26241,Li2V3(P2O7)2,14,Monoclinic,-2.633849575,0.021240333,FALSE,2.8557,FALSE,TRUE,FALSE
mp-26245,Li3Bi2P5O18,2,Triclinic,-2.434741949,0.047837249,FALSE,0.2166,FALSE,TRUE,FALSE
mp-26247,Li5Cu(PO4)2,1,Triclinic,-2.522494556,0.032181375,FALSE,1.9167,FALSE,TRUE,FALSE
mp-26248,Li4Cu(PO4)2,1,Triclinic,-2.458453796,0.053149382,FALSE,0,TRUE,TRUE,FALSE
mp-26251,LiVP2O7,5,Monoclinic,-2.711323432,0.007030278,FALSE,1.8886,FALSE,TRUE,FALSE
mp-26255,Li2FeP2O7,14,Monoclinic,-2.555444739,0.019432894,FALSE,3.8745,FALSE,TRUE,FALSE
mp-26257,Li2MnP2O7,15,Monoclinic,-2.647277343,0.023967149,FALSE,3.1746,FALSE,TRUE,FALSE
mp-26261,Li2Cu(PO3)4,15,Monoclinic,-2.46671017,0.015091106,FALSE,1.0281,FALSE,TRUE,FALSE
mp-26262,LiCu(PO3)4,9,Monoclinic,-2.342573589,0.00278467,FALSE,0.6922,FALSE,TRUE,FALSE
mp-26263,Li3Ni3(PO4)4,4,Monoclinic,-2.181499903,0.088122573,FALSE,0,TRUE,TRUE,FALSE
mp-26267,Li2Cu(PO3)4,62,Orthorhombic,-2.460351948,0.021449327,FALSE,0.2949,FALSE,TRUE,FALSE
mp-26269,LiFe(PO3)4,15,Monoclinic,-2.529231334,0.020458548,FALSE,2.3543,FALSE,TRUE,FALSE
mp-26271,Li2Sn(PO3)4,14,Monoclinic,-2.560618887,0.020036247,FALSE,4.0851,FALSE,TRUE,FALSE
mp-26275,Li3Ni2(PO4)3,148,Trigonal,-2.273124091,0.061836366,FALSE,0.1063,FALSE,TRUE,FALSE
mp-26279,LiCr(PO3)4,15,Monoclinic,-2.620701666,0.02204812,FALSE,2.8168,FALSE,TRUE,FALSE
mp-26281,Li3Sb5(PO4)6,1,Triclinic,-2.417317316,0.021557103,FALSE,3.9611,FALSE,TRUE,FALSE
mp-26285,LiBi2(PO4)3,4,Monoclinic,-2.289939936,0.070334765,FALSE,0.2874,FALSE,TRUE,FALSE
mp-26289,Li3Cr3(PO4)4,1,Triclinic,-2.62529964,0.025833723,FALSE,1.8602,FALSE,TRUE,FALSE
mp-26293,LiMoP2O7,5,Monoclinic,-2.554720022,0.028104015,FALSE,4.1701,FALSE,TRUE,FALSE
mp-26297,LiV(PO3)3,2,Triclinic,-2.638822563,0.016842369,FALSE,2.6183,FALSE,TRUE,FALSE
mp-26299,LiSnPO4,14,Monoclinic,-2.454018184,0.016397842,FALSE,3.8943,FALSE,TRUE,FALSE
mp-26301,LiBi2(PO4)3,7,Monoclinic,-2.28314451,0.077130191,FALSE,0.2443,FALSE,TRUE,FALSE
mp-26303,Li6Cu9(PO4)8,2,Triclinic,-2.123253204,0.025080087,FALSE,0.3896,FALSE,TRUE,FALSE
mp-26305,Li2Cr3(P2O7)2,2,Triclinic,-2.563063385,0.031387303,FALSE,3.2146,FALSE,TRUE,FALSE
mp-26307,Li3Fe3(PO4)4,14,Monoclinic,-2.443603622,0.031563945,FALSE,2.3693,FALSE,TRUE,FALSE
mp-26311,Li5Cu(PO4)2,7,Monoclinic,-2.519766821,0.034909111,FALSE,2.1182,FALSE,TRUE,FALSE
mp-26312,Li4Cu(PO4)2,7,Monoclinic,-2.465980925,0.045622253,FALSE,0,TRUE,TRUE,FALSE
mp-26313,Li4Ni5(P3O11)2,14,Monoclinic,-2.351967759,0.02307269,FALSE,3.2929,FALSE,TRUE,FALSE
mp-26317,LiCrPO4,63,Orthorhombic,-2.554134689,0.017255488,FALSE,1.6002,FALSE,TRUE,FALSE
mp-26319,Li3Mo(PO3)8,5,Monoclinic,-2.523338901,0.047846385,FALSE,1.1831,FALSE,TRUE,FALSE
mp-26323,LiMoP2O7,14,Monoclinic,-2.557944449,0.024879588,FALSE,4.3758,FALSE,TRUE,FALSE
mp-26326,LiFeP2O7,1,Triclinic,-2.490929492,0.034829887,FALSE,2.5998,FALSE,TRUE,FALSE
mp-26327,Li6Bi3P8O29,9,Monoclinic,-2.448919025,0.05856804,FALSE,0,TRUE,TRUE,FALSE
mp-26329,Li3Cr(PO3)8,5,Monoclinic,-2.493898219,0.054437588,FALSE,0,TRUE,TRUE,FALSE
mp-26333,Li2CoP2O7,14,Monoclinic,-2.501079171,0.027443004,FALSE,2.3703,FALSE,TRUE,FALSE
mp-26335,LiFe(PO3)4,9,Monoclinic,-2.530266271,0.019423611,FALSE,2.7104,FALSE,TRUE,FALSE
mp-26337,Li3Cr3(PO4)4,4,Monoclinic,-2.623164304,0.027969059,FALSE,1.9146,FALSE,TRUE,FALSE
mp-26339,LiMnP2O7,14,Monoclinic,-2.551498068,0.013826802,FALSE,1.4202,FALSE,TRUE,FALSE
mp-26341,LiSbP2O7,4,Monoclinic,-2.497008057,0.016075594,FALSE,4.0469,FALSE,TRUE,FALSE
mp-26345,LiNiP2O7,14,Monoclinic,-2.282917669,0.06404759,FALSE,0,TRUE,TRUE,FALSE
mp-26347,Li3Mo(PO4)2,12,Monoclinic,-2.594568106,0.024750503,FALSE,4.0179,FALSE,TRUE,FALSE
mp-26348,Li2Mo(PO4)2,8,Monoclinic,-2.525922468,0.056896715,FALSE,1.5154,FALSE,TRUE,FALSE
mp-26351,Li3Mo3(PO4)4,14,Monoclinic,-2.506861258,0.018272265,FALSE,3.4456,FALSE,TRUE,FALSE
mp-26355,LiCr(PO3)4,9,Monoclinic,-2.621524126,0.02122566,FALSE,3.3641,FALSE,TRUE,FALSE
mp-26358,LiFeP2O7,7,Monoclinic,-2.48642929,0.039330089,FALSE,2.5393,FALSE,TRUE,FALSE
