feature_count,feature_names,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p,two_pi,6.283185,2.0,64,800,4,0.75,0.77,0.7175,0.7411
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p,two_pi,6.283185,5.0,64,800,4,0.7537,0.7752,0.72,0.745
6,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p,two_pi,6.283185,10.0,64,800,4,0.7562,0.776,0.725,0.7482
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,0.1,256,800,4,0.715,0.6848,0.815,0.741
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,0.5,256,800,4,0.785,0.7532,0.8475,0.7973
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,1.0,256,800,4,0.8038,0.7732,0.86,0.8141
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,2.0,256,800,4,0.8025,0.7751,0.8525,0.8119
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,5.0,256,800,4,0.8025,0.7762,0.85,0.8114
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi_over_2,1.570796,10.0,256,800,4,0.805,0.7796,0.85,0.8131
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi,3.141593,0.1,256,800,4,0.7575,0.7589,0.755,0.7564
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi,3.141593,0.5,256,800,4,0.7962,0.7735,0.8375,0.8041
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi,3.141593,1.0,256,800,4,0.795,0.7755,0.83,0.8017
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi,3.141593,2.0,256,800,4,0.7975,0.7757,0.8375,0.8049
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi,3.141593,5.0,256,800,4,0.7912,0.7725,0.8275,0.7982
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,pi,3.141593,10.0,256,800,4,0.7988,0.7869,0.82,0.8026
8,scaled_space_group_number; scaled_band_gap; scaled_formation_energy_per_atom; scaled_number_of_elements; scaled_has_fe; scaled_has_p; scaled_has_mn; scaled_has_c,two_pi,6.283185,0.1,256,800,4,0.7438,0.7173,0.805,0.7578
