pca_component_count,kernel_name,entanglement_strength,angle_scale,angle_scale_value,c_value,quantum_state_size,train_validation_rows,cross_validation_splits,cv_accuracy,cv_stable_precision,cv_stable_recall,cv_stable_f1
6,product,0.0,pi_over_2,1.570796,10.0,64,800,4,0.845,0.8267,0.8775,0.8504
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.1,64,800,4,0.8,0.8055,0.795,0.7995
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,0.5,64,800,4,0.8138,0.8106,0.825,0.8164
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,1.0,64,800,4,0.8487,0.8373,0.8725,0.8531
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,2.0,64,800,4,0.8438,0.8296,0.8725,0.849
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,5.0,64,800,4,0.85,0.8371,0.875,0.8543
6,entangled_pi_over_2,1.570796,pi_over_2,1.570796,10.0,64,800,4,0.8512,0.8384,0.875,0.8553
6,entangled_pi,3.141593,pi_over_2,1.570796,0.1,64,800,4,0.8012,0.8097,0.7925,0.8
6,entangled_pi,3.141593,pi_over_2,1.570796,0.5,64,800,4,0.8188,0.8154,0.83,0.8212
6,entangled_pi,3.141593,pi_over_2,1.570796,1.0,64,800,4,0.84,0.8285,0.865,0.8447
6,entangled_pi,3.141593,pi_over_2,1.570796,2.0,64,800,4,0.8462,0.8365,0.87,0.8508
6,entangled_pi,3.141593,pi_over_2,1.570796,5.0,64,800,4,0.8512,0.8449,0.8675,0.8544
6,entangled_pi,3.141593,pi_over_2,1.570796,10.0,64,800,4,0.8512,0.8426,0.87,0.8547
6,product,0.0,pi,3.141593,0.1,64,800,4,0.8362,0.8386,0.84,0.8377
6,product,0.0,pi,3.141593,0.5,64,800,4,0.8388,0.8325,0.8525,0.8416
6,product,0.0,pi,3.141593,1.0,64,800,4,0.84,0.8331,0.855,0.843
6,product,0.0,pi,3.141593,2.0,64,800,4,0.8475,0.8428,0.86,0.8501
6,product,0.0,pi,3.141593,5.0,64,800,4,0.8512,0.8465,0.865,0.8542
6,product,0.0,pi,3.141593,10.0,64,800,4,0.8525,0.8479,0.865,0.8551
6,entangled_pi_over_2,1.570796,pi,3.141593,0.1,64,800,4,0.825,0.8319,0.82,0.8245
6,entangled_pi_over_2,1.570796,pi,3.141593,0.5,64,800,4,0.84,0.8344,0.8525,0.8426
6,entangled_pi_over_2,1.570796,pi,3.141593,1.0,64,800,4,0.8412,0.8349,0.855,0.8439
6,entangled_pi_over_2,1.570796,pi,3.141593,2.0,64,800,4,0.8488,0.847,0.8575,0.8508
6,entangled_pi_over_2,1.570796,pi,3.141593,5.0,64,800,4,0.855,0.8484,0.87,0.8578
6,entangled_pi_over_2,1.570796,pi,3.141593,10.0,64,800,4,0.8512,0.846,0.865,0.8541
6,entangled_pi,3.141593,pi,3.141593,0.1,64,800,4,0.82,0.8305,0.81,0.8183
6,entangled_pi,3.141593,pi,3.141593,0.5,64,800,4,0.845,0.8435,0.8525,0.8468
6,entangled_pi,3.141593,pi,3.141593,1.0,64,800,4,0.8525,0.8516,0.86,0.8543
6,entangled_pi,3.141593,pi,3.141593,2.0,64,800,4,0.8575,0.8543,0.8675,0.8596
6,entangled_pi,3.141593,pi,3.141593,5.0,64,800,4,0.855,0.8486,0.87,0.8578
6,entangled_pi,3.141593,pi,3.141593,10.0,64,800,4,0.8538,0.851,0.8625,0.8556
6,product,0.0,two_pi,6.283185,0.1,64,800,4,0.8362,0.853,0.8175,0.8337
6,product,0.0,two_pi,6.283185,0.5,64,800,4,0.8462,0.8441,0.855,0.8483
6,product,0.0,two_pi,6.283185,1.0,64,800,4,0.8487,0.8457,0.86,0.851
6,product,0.0,two_pi,6.283185,2.0,64,800,4,0.85,0.8506,0.855,0.8513
6,product,0.0,two_pi,6.283185,5.0,64,800,4,0.8512,0.8534,0.8525,0.8519
6,product,0.0,two_pi,6.283185,10.0,64,800,4,0.8488,0.849,0.8525,0.8498
6,entangled_pi_over_2,1.570796,two_pi,6.283185,0.1,64,800,4,0.8362,0.8514,0.82,0.8342
6,entangled_pi_over_2,1.570796,two_pi,6.283185,0.5,64,800,4,0.8475,0.8445,0.8575,0.8498
6,entangled_pi_over_2,1.570796,two_pi,6.283185,1.0,64,800,4,0.8487,0.8457,0.86,0.851
6,entangled_pi_over_2,1.570796,two_pi,6.283185,2.0,64,800,4,0.85,0.8506,0.855,0.8513
6,entangled_pi_over_2,1.570796,two_pi,6.283185,5.0,64,800,4,0.85,0.8494,0.855,0.8512
6,entangled_pi_over_2,1.570796,two_pi,6.283185,10.0,64,800,4,0.8488,0.849,0.8525,0.8498
6,entangled_pi,3.141593,two_pi,6.283185,0.1,64,800,4,0.835,0.8428,0.83,0.8349
